engels	hypernym	nederlands	nederlands_alt	cat_en	cat_nl	uitspraak	notitie
Adult … Dragon	dragons	Volwassen … Draak		monsters and other creatures	monsters en andere wezens		
Young … Dragon	dragons	Jonge … Draak		monsters and other creatures	monsters en andere wezens		
… Dragon Wyrmling	dragons	… Wyrmeling		monsters and other creatures	monsters en andere wezens		
Black Dragon	dragons	Zwarte Draak		monsters and other creatures	monsters en andere wezens		
Blue Dragon	dragons	Blauwe Draak		monsters and other creatures	monsters en andere wezens		
Green Dragon	dragons	Groene Draak		monsters and other creatures	monsters en andere wezens		
Red Dragon	dragons	Rode Draak		monsters and other creatures	monsters en andere wezens		
White Dragon	dragons	Witte Draak		monsters and other creatures	monsters en andere wezens		
Brass Dragon	dragons	Messingen Draak		monsters and other creatures	monsters en andere wezens		
Bronze Dragon	dragons	Bronzen Draak		monsters and other creatures	monsters en andere wezens		
Copper Dragon	dragons	Koperen Draak		monsters and other creatures	monsters en andere wezens		
Gold Dragon	dragons	Gouden Draak		monsters and other creatures	monsters en andere wezens		
Silver Dragon	dragons	Zilveren Draak		monsters and other creatures	monsters en andere wezens		
Dragon Turtle		Drakenschildpad		monsters and other creatures	monsters en andere wezens		
Drider		Drin		monsters and other creatures	monsters en andere wezens		
Dryad		Dryade		monsters and other creatures	monsters en andere wezens		
Duergar		Duargar		monsters and other creatures	monsters en andere wezens	ˈdʋɑrχɑr	
elementals		Elementalen		monsters and other creatures	monsters en andere wezens		
Air Elemental	elementals	Luchtelementaal		monsters and other creatures	monsters en andere wezens		
Earth Elemental	elementals	Aarde-elementaal		monsters and other creatures	monsters en andere wezens		
Fire Elemental	elementals	Vuurelementaal		monsters and other creatures	monsters en andere wezens		
Water Elemental	elementals	Waterelementaal		monsters and other creatures	monsters en andere wezens		
drow		Drouw		monsters and other creatures	monsters en andere wezens		
Drow Elite Warrior	drow	Drouw Elite Krijger		monsters and other creatures	monsters en andere wezens		
Drow Mage	drow	Drouw Magiër	Drouw Tovenaar	monsters and other creatures	monsters en andere wezens		
Drow Priestess of Lolth	drow	Drouw Priesteres van Lolth		monsters and other creatures	monsters en andere wezens		
Empyrean		Empyreum		monsters and other creatures	monsters en andere wezens		
Ettercap		Etterkap		monsters and other creatures	monsters en andere wezens		
Ettin		Ettin		monsters and other creatures	monsters en andere wezens		
Faerie Dragon		Feeëndraak		monsters and other creatures	monsters en andere wezens		
Flameskulll		Vlammenschedel		monsters and other creatures	monsters en andere wezens		
Flumph		Flumph		monsters and other creatures	monsters en andere wezens		
Fomorian		Fomoriaan		monsters and other creatures	monsters en andere wezens		
fungi		Paddenstoelen		monsters and other creatures	monsters en andere wezens		
Gas Spore	fungi	Gasspore		monsters and other creatures	monsters en andere wezens		
Shrieker	fungi	Krijser		monsters and other creatures	monsters en andere wezens		
Violet Fungus	fungi	Paarse paddenstoel		monsters and other creatures	monsters en andere wezens		
Galeb Duhr		Galeb Duhr		monsters and other creatures	monsters en andere wezens		
Gargoyle		Schrikbeeld		monsters and other creatures	monsters en andere wezens		Schrikbeeld is geen echt begrip. Waterspuwer zou de conventionele vertaling zijn, maar is gek aangezien de monsters geen water spuwen.
genies		Djinns		monsters and other creatures	monsters en andere wezens		
Dao	genies	Dao		monsters and other creatures	monsters en andere wezens		
Djinni	genies	Djinni		monsters and other creatures	monsters en andere wezens		
Efreeti	genies	Efreeti		monsters and other creatures	monsters en andere wezens		
Marid	genies	Marid		monsters and other creatures	monsters en andere wezens		
Ghost		Spook		monsters and other creatures	monsters en andere wezens		
ghouls		Ghul		monsters and other creatures	monsters en andere wezens		
Ghast	ghouls	Ghaste		monsters and other creatures	monsters en andere wezens		
Ghoul	ghouls	Ghul		monsters and other creatures	monsters en andere wezens		
giants		Reuzen		monsters and other creatures	monsters en andere wezens		
Cloud Giant	giants	Wolkenreus		monsters and other creatures	monsters en andere wezens		
Fire Giant	giants	Vuurreus		monsters and other creatures	monsters en andere wezens		
Frost Giant	giants	IJsreus		monsters and other creatures	monsters en andere wezens		
Hill Giant	giants	Heuvelreus		monsters and other creatures	monsters en andere wezens		
Stone Giant	giants	Steenreus		monsters and other creatures	monsters en andere wezens		
Storm Giant	giants	Stormreus		monsters and other creatures	monsters en andere wezens		
Gibbering Mouther		Brabbelemonder		monsters and other creatures	monsters en andere wezens		
gith		gith		monsters and other creatures	monsters en andere wezens		
Githyanki	gith	Githyanki		monsters and other creatures	monsters en andere wezens		
Githzerai	gith	Githzerai		monsters and other creatures	monsters en andere wezens		
gnolls		gnol	kabol	monsters and other creatures	monsters en andere wezens		Gnoll is een samenstelling van gnome en troll, wat past bij de oorspronkelijke beschrijving van gnolls. Later kregen de wezens meer hyena-achtige kenmerken, waardoor de term niet veel meer met het wezen te maken heeft.
Gnoll	gnolls	Gnol		monsters and other creatures	monsters en andere wezens		
Gnoll Pack Lord	gnolls	Gnol Roedeleider		monsters and other creatures	monsters en andere wezens		
Gnoll Fang of Yeenoghu	gnolls	Gnol tand van Yeenoghu		monsters and other creatures	monsters en andere wezens		
Deep Gnome (Svirfneblin)		Diepkabouters (Svirfneblin)		monsters and other creatures	monsters en andere wezens		
goblins		Gobbelins		monsters and other creatures	monsters en andere wezens		
Goblin	goblins	Gobbelin		monsters and other creatures	monsters en andere wezens		
Goblin Boss	goblins	Gobbelinleider		monsters and other creatures	monsters en andere wezens		
golems		golems		monsters and other creatures	monsters en andere wezens		
Clay Golem	golems	Kleigolem		monsters and other creatures	monsters en andere wezens		
Flesh Golem	golems	Vleesgolem		monsters and other creatures	monsters en andere wezens		
Iron Golem	golems	IJzergolem		monsters and other creatures	monsters en andere wezens		
Stone Golem	golems	Steengolem		monsters and other creatures	monsters en andere wezens		
Gorgon		Gorgo		monsters and other creatures	monsters en andere wezens		
Grell		Grel		monsters and other creatures	monsters en andere wezens		
Grick		Griek		monsters and other creatures	monsters en andere wezens		
Griffon		Griffioen		monsters and other creatures	monsters en andere wezens		
Grimlock		Grimlok		monsters and other creatures	monsters en andere wezens		
hags		kollen		monsters and other creatures	monsters en andere wezens		
Green Hag	hags	Groene kol		monsters and other creatures	monsters en andere wezens		
Night Hag	hags	Nachtkol		monsters and other creatures	monsters en andere wezens		
Sea Hag	hags	Zeekol		monsters and other creatures	monsters en andere wezens		
Half-Dragon		Halfdraak		monsters and other creatures	monsters en andere wezens		
Harpy		Harpij		monsters and other creatures	monsters en andere wezens		
Hell Hound		Hellehond		monsters and other creatures	monsters en andere wezens		
Helmed Horror		Helmverschrikking		monsters and other creatures	monsters en andere wezens		
Hippogriff		Hippogrief		monsters and other creatures	monsters en andere wezens		
hobgoblins		hobgobbelins		monsters and other creatures	monsters en andere wezens		
Hobgoblin	hobgoblins	hobgobbelin		monsters and other creatures	monsters en andere wezens		
Hobgoblin Captain	hobgoblins	Hobgobbelin Kapitein		monsters and other creatures	monsters en andere wezens		
Hobgoblin Warlord	hobgoblins	Hobgobbelin Krijgsmeester		monsters and other creatures	monsters en andere wezens		
Homunculus		Homunculus		monsters and other creatures	monsters en andere wezens		
Hook Horror		Hakengruwel		monsters and other creatures	monsters en andere wezens		
Hydra		Hydra		monsters and other creatures	monsters en andere wezens		
Intellect Devourer		Verstandsverslinder		monsters and other creatures	monsters en andere wezens		
Invisible Stalker		Onzichtbare Volger		monsters and other creatures	monsters en andere wezens		
Jackalwere		Jakhalzeweer	jakhalzer	monsters and other creatures	monsters en andere wezens		De schijnbare etymologie van jackalwere lijkt te zijn dat het bestaat uit de woorden jackal (uiteraard) en het oud-germaanse wer, man (als in werewolf). Jakhalsweer ligt wat ongemakkelijk op de tong, dus de twee vertalingen zijn alternatieven.
Kenku		kenku		monsters and other creatures	monsters en andere wezens	ˈkɛŋku	
kobolds		Kobolden		monsters and other creatures	monsters en andere wezens		
Winged Kobold	kobolds	Gevleugelde Kobold		monsters and other creatures	monsters en andere wezens		
Kobold	kobolds	Kobold		monsters and other creatures	monsters en andere wezens		
Kraken		Kraken		monsters and other creatures	monsters en andere wezens		
kuo-toa		Kuo-Toa		monsters and other creatures	monsters en andere wezens		
Kuo-Toa	kuo-toa	Kuo-Toa		monsters and other creatures	monsters en andere wezens		
Kuo-Toa Archpriest	kuo-toa	Kuo-Toa Aartspriester		monsters and other creatures	monsters en andere wezens		
Kua-Toa Whip	kuo-toa	Kuo-Toa Zweep		monsters and other creatures	monsters en andere wezens		
Lamia		Lamia		monsters and other creatures	monsters en andere wezens		
Lich		Liek	krong, reeuw	monsters and other creatures	monsters en andere wezens		Lich komt van een Oud-Engels woord voor lijk. In het Engels is de betekenis van het woord veranderd naar een spookverschijning, in het Nederlands niet. Krong en reeuw zij een moderne spelling van Oud-Nederlands woorden voor lijk. Liek is een vertaling die herkenbaarheid behoudt.
lizardfolk		Hagedissenvolk		monsters and other creatures	monsters en andere wezens		
Lizardfolk	lizardfolk	Hagedissenvolk		monsters and other creatures	monsters en andere wezens		
Lizardfolk Shaman	lizardfolk	Hagedissenvolk Sjamaan		monsters and other creatures	monsters en andere wezens		
Lizard King/King	lizardfolk	Hagedissenkoning/koningin		monsters and other creatures	monsters en andere wezens		
lycantropes		Lycantropen		monsters and other creatures	monsters en andere wezens		
Werebear	lycantropes	Weerbeer		monsters and other creatures	monsters en andere wezens		
Wereboar	lycantropes	Weerzwijn		monsters and other creatures	monsters en andere wezens		
Wererat	lycantropes	Weerrat		monsters and other creatures	monsters en andere wezens		
Weretiger	lycantropes	Weertijger		monsters and other creatures	monsters en andere wezens		
Werewolf	lycantropes	Weerwolf		monsters and other creatures	monsters en andere wezens		
Magmin		Magmin	Barlemanje	monsters and other creatures	monsters en andere wezens		De barlemanje is een Nederlands vuurmannetje.
Manticore		Manticore		monsters and other creatures	monsters en andere wezens		
Medusa		Medusa		monsters and other creatures	monsters en andere wezens		
mephits		Mefieten		monsters and other creatures	monsters en andere wezens		
Dust Mephit	mephits	Stofmefiet		monsters and other creatures	monsters en andere wezens		
Ice Mephit	mephits	IJsmefiet		monsters and other creatures	monsters en andere wezens		
Magma Mephit	mephits	Magmameiet		monsters and other creatures	monsters en andere wezens		
Mud Mephit	mephits	Moddermefiet		monsters and other creatures	monsters en andere wezens		
Smoke Mephit	mephits	Rookmefiet		monsters and other creatures	monsters en andere wezens		
Steam Mephit	mephits	Stoommefiet		monsters and other creatures	monsters en andere wezens		
Merfolk		Meervolk		monsters and other creatures	monsters en andere wezens		
Merrow		Meerroe		monsters and other creatures	monsters en andere wezens		
Mimic		Mimiek		monsters and other creatures	monsters en andere wezens		
Mind Flayer		Zielenveller		monsters and other creatures	monsters en andere wezens		
Minotaur		Minotauros		monsters and other creatures	monsters en andere wezens		
modrons		Modronen		monsters and other creatures	monsters en andere wezens		
Monodrone	modrons	Monodroon		monsters and other creatures	monsters en andere wezens		
Duodrone	modrons	Duodroon		monsters and other creatures	monsters en andere wezens		
Tridrone	modrons	Tridroon		monsters and other creatures	monsters en andere wezens		
Quadrone	modrons	Quadroon		monsters and other creatures	monsters en andere wezens		
Pentadrone	modrons	Pentadroon		monsters and other creatures	monsters en andere wezens		
Mummies		Mummies		monsters and other creatures	monsters en andere wezens		
myconids		Myconiden		monsters and other creatures	monsters en andere wezens		
Myconid Sprout	myconids	Myconidescheut		monsters and other creatures	monsters en andere wezens		
Quaggoth Spore Servant	myconids	Quaggoth Sporendienaar		monsters and other creatures	monsters en andere wezens		
Myconid Adult	myconids	Myconide Volwassene		monsters and other creatures	monsters en andere wezens		
Myconid Sovereign	myconids	Myconide Vorst		monsters and other creatures	monsters en andere wezens		
nagas		Naga’s		monsters and other creatures	monsters en andere wezens		
Bone Naga	nagas	Bottennaga		monsters and other creatures	monsters en andere wezens		
Spirit Naga	nagas	Geestennaga		monsters and other creatures	monsters en andere wezens		
Guardian Naga	nagas	Beschermernaga		monsters and other creatures	monsters en andere wezens		
Nightmare		Nachtmerrie		monsters and other creatures	monsters en andere wezens		
Nothic		Nothiek		monsters and other creatures	monsters en andere wezens		
ogres		ogers		monsters and other creatures	monsters en andere wezens		
ogre	ogres	ogers		monsters and other creatures	monsters en andere wezens		
Half-Ogre	ogres	Halfoger		monsters and other creatures	monsters en andere wezens		
Oni		Oni		monsters and other creatures	monsters en andere wezens		
oozes		Slijk		monsters and other creatures	monsters en andere wezens		
Black Pudding	oozes	Zwarte Pudding		monsters and other creatures	monsters en andere wezens		
Gelatinous Cube	oozes	Geleikubus		monsters and other creatures	monsters en andere wezens		
Gray Ooze	oozes	Grijs Slijk		monsters and other creatures	monsters en andere wezens		
Ochre Jelly	oozes	Okere Gelei		monsters and other creatures	monsters en andere wezens		
orcs		Orken		monsters and other creatures	monsters en andere wezens		
Orc	orcs	Ork		monsters and other creatures	monsters en andere wezens		
Ork War Chief	orcs	Ork Krijgshoofd		monsters and other creatures	monsters en andere wezens		
Orc Eye of Gruumsh	orcs	Ork Oog van Gruumsh		monsters and other creatures	monsters en andere wezens		
Orog		Orog		monsters and other creatures	monsters en andere wezens		
Otyugh		Otyugh		monsters and other creatures	monsters en andere wezens		
Owlbear		Uilbeer		monsters and other creatures	monsters en andere wezens		
Pegasus		Pegasus		monsters and other creatures	monsters en andere wezens		
Peryton		Peryton		monsters and other creatures	monsters en andere wezens		
Piercer		Doorboorder		monsters and other creatures	monsters en andere wezens		
Pixie		Piskie		monsters and other creatures	monsters en andere wezens		
Pseudodragon		Pseudodraak		monsters and other creatures	monsters en andere wezens		
Purple Worm		Paarse Worm		monsters and other creatures	monsters en andere wezens		
Quaggoth		Quaggoth		monsters and other creatures	monsters en andere wezens		
Rakshasa		Rakshasa		monsters and other creatures	monsters en andere wezens		
Remorhaz		Remorhaz		monsters and other creatures	monsters en andere wezens	reːˈmoːrhɑs	
Revenant		Wederkeerder		monsters and other creatures	monsters en andere wezens		
Roc		Roc	Rok, Roekh	monsters and other creatures	monsters en andere wezens		Er zijn meerdere vertalingen voor dit wezen uit 1001 Nacht.
Roper		Snoerder		monsters and other creatures	monsters en andere wezens		
Rust Monster		Roestmonster		monsters and other creatures	monsters en andere wezens		
sahuagin		Sahuagin		monsters and other creatures	monsters en andere wezens		
Sahuagin Priestess	sahuagin	Sahuagin Priesteres		monsters and other creatures	monsters en andere wezens		
Sahuagin Baron	sahuagin	Sahuagin Baron		monsters and other creatures	monsters en andere wezens		
salamanders		Salamanders		monsters and other creatures	monsters en andere wezens		
Fire Snake	salamanders	Vuurslang		monsters and other creatures	monsters en andere wezens		
Salamander	salamanders	Salamander		monsters and other creatures	monsters en andere wezens		
Satyr		Satyr		monsters and other creatures	monsters en andere wezens		
Scarecrow		Vogelverschrikker		monsters and other creatures	monsters en andere wezens		
Shadow		Schaduw		monsters and other creatures	monsters en andere wezens		
Shambling mound		Schuifelende berg		monsters and other creatures	monsters en andere wezens		
Shield Guardian		Schildbewaker		monsters and other creatures	monsters en andere wezens		
skeletons		Geraamtes		monsters and other creatures	monsters en andere wezens		
Skeleton	skeletons	Geraamte		monsters and other creatures	monsters en andere wezens		
Minotaur Skeleton	skeletons	Minotaurusgeraamte		monsters and other creatures	monsters en andere wezens		
Warhorse Skeleton	skeletons	Strijdpaardgeraamte		monsters and other creatures	monsters en andere wezens		
slaadi		Slaadi		monsters and other creatures	monsters en andere wezens		
Red Slaad	slaadi	Rode Slaad		monsters and other creatures	monsters en andere wezens		
Blue Slaad	slaadi	Blauwe Slaad		monsters and other creatures	monsters en andere wezens		
Green Slaad	slaadi	Groene Slaad		monsters and other creatures	monsters en andere wezens		
Gray Slaad	slaadi	Grijze Slaad		monsters and other creatures	monsters en andere wezens		
Death Slaad	slaadi	Doodsslaad		monsters and other creatures	monsters en andere wezens		
Slaad Tadpole	slaadi	Slaadvisje		monsters and other creatures	monsters en andere wezens		
Specter		Specter		monsters and other creatures	monsters en andere wezens		
sphinxes		Sphinxen		monsters and other creatures	monsters en andere wezens		
Androsphynx	sphinxes	Androsphinx		monsters and other creatures	monsters en andere wezens		
Gynosphynx	sphinxes	Gynosphinx		monsters and other creatures	monsters en andere wezens		
Sprite		feetje		monsters and other creatures	monsters en andere wezens		
Stirge		Sturge		monsters and other creatures	monsters en andere wezens		
Succubus/Incubus		Succubus/Incubus		monsters and other creatures	monsters en andere wezens		
Tarrasque		Tarrasque		monsters and other creatures	monsters en andere wezens		
Thri-kreen		Tri-keen		monsters and other creatures	monsters en andere wezens		
Treant		Booment		monsters and other creatures	monsters en andere wezens		Treant is een variatie op de term ent uit Lord of the Rings, een oud Angelsaksisch woord voor reus. De variatie werd gemaakt om copyright te vermijden.
Troglodyte		Troglodiet		monsters and other creatures	monsters en andere wezens		
Troll		Trol		monsters and other creatures	monsters en andere wezens		
Umber Hulk		Omberkolos		monsters and other creatures	monsters en andere wezens		
Unicorn		Eenhoorn		monsters and other creatures	monsters en andere wezens		
vampires		Vampiers		monsters and other creatures	monsters en andere wezens		
Vampire	vampires	Vampier		monsters and other creatures	monsters en andere wezens		
Vampire Spawn	vampires	Vampiergebroed		monsters and other creatures	monsters en andere wezens		
Water Weird		Waterwijl	waterlot, waterwilt	monsters and other creatures	monsters en andere wezens		Ik neem aan dat weird hier verwijst naar het Angelsaksische begrip van het lot. Wijl en wilt zijn beide Middelnederlandse woorden waarvan lot één van de betekenissen is.
Wight		Wichtel		monsters and other creatures	monsters en andere wezens		
Will-o’-wisp		Dwaallichtjes		monsters and other creatures	monsters en andere wezens		
Wraith		Schim		monsters and other creatures	monsters en andere wezens		
Wyvern		Wyverne		monsters and other creatures	monsters en andere wezens		
Xorn		Zorn		monsters and other creatures	monsters en andere wezens		
Yeti		Yeti		monsters and other creatures	monsters en andere wezens		
yuan-ti		Yuan-ti		monsters and other creatures	monsters en andere wezens		
Yuan-ti Abomination	yuan-ti	Yuan-ti Verschrikking		monsters and other creatures	monsters en andere wezens		
Yuan-ti Malison	yuan-ti	Yuan-ti Vervloeking		monsters and other creatures	monsters en andere wezens		
Yuan-ti Pureblood	yuan-ti	Yuan-ti Volbloed		monsters and other creatures	monsters en andere wezens		
yugoloths		Yugoloth		monsters and other creatures	monsters en andere wezens		De naam van deze D&D-wezens is veranderd (samen met andere naamswijzigingen) van daemon naar yugoloth om beschuldigingen van satanisme te omzeilen. Voor zover ik weet is het dus bewust een naam zonder oorsprong of context.
Arcanaloth	yugoloths	Arcanaloth		monsters and other creatures	monsters en andere wezens		
Mezzoloth	yugoloths	Mezzoloth		monsters and other creatures	monsters en andere wezens		
Nycaloth	yugoloths	Nycaloth		monsters and other creatures	monsters en andere wezens		
Ultroloth	yugoloths	Ultroloth		monsters and other creatures	monsters en andere wezens		
zombies		Zombies		monsters and other creatures	monsters en andere wezens		
Zombie	zombies	Zombie		monsters and other creatures	monsters en andere wezens		
Ogre Zombie	zombies	Ogerzomie		monsters and other creatures	monsters en andere wezens		
Beholder Zombie	zombies	Ontwaarderzombie		monsters and other creatures	monsters en andere wezens		
Ape		Aap		monsters and other creatures	monsters en andere wezens		
Awakend Shrub		Ontwaakte struik		monsters and other creatures	monsters en andere wezens		
Awakened Tree		Ontwaakte boom		monsters and other creatures	monsters en andere wezens		
Axe Beak		Bijlbek		monsters and other creatures	monsters en andere wezens		
Baboon		Baviaan		monsters and other creatures	monsters en andere wezens		
Badger		Das		monsters and other creatures	monsters en andere wezens		
Bat		Vleermuis		monsters and other creatures	monsters en andere wezens		
Black Bear		Zwarte beer		monsters and other creatures	monsters en andere wezens		
Blink Dog		Flikkerende hond		monsters and other creatures	monsters en andere wezens		
Blood Hawk		Bloedhavik		monsters and other creatures	monsters en andere wezens		
Boar		Everzwijn		monsters and other creatures	monsters en andere wezens		
Brown Bear		Bruine beer		monsters and other creatures	monsters en andere wezens		
Camel		Kameel		monsters and other creatures	monsters en andere wezens		
Cat		Kat		monsters and other creatures	monsters en andere wezens		
Constrictor Snake		Wurgslang		monsters and other creatures	monsters en andere wezens		
Crab		Krab		monsters and other creatures	monsters en andere wezens		
Crocodile		Krokodil		monsters and other creatures	monsters en andere wezens		
Death Dog		Doodshond		monsters and other creatures	monsters en andere wezens		
Deer		Rendier		monsters and other creatures	monsters en andere wezens		
Dire Wolf		Grimwolf		monsters and other creatures	monsters en andere wezens		
Draft Horse		Trekpaard		monsters and other creatures	monsters en andere wezens		
Eagle		Adelaar		monsters and other creatures	monsters en andere wezens		
Elephant		Olifant		monsters and other creatures	monsters en andere wezens		
Elk		Eland		monsters and other creatures	monsters en andere wezens		
Flying Snake		Vliegende slang		monsters and other creatures	monsters en andere wezens		
Frog		Kikker		monsters and other creatures	monsters en andere wezens		
Giant Ape		Reuzenaap		monsters and other creatures	monsters en andere wezens		
Giant Badger		Reuzendas		monsters and other creatures	monsters en andere wezens		
Giant Bat		Reuzenvleermuis		monsters and other creatures	monsters en andere wezens		
Giant Boar		Reuzenzwijn		monsters and other creatures	monsters en andere wezens		
Giant Centipede		Reuzenduizendpoot		monsters and other creatures	monsters en andere wezens		
Giant Constrictor Snake		Reuzenwurgslang		monsters and other creatures	monsters en andere wezens		
Giant Crab		Reuzenkrab		monsters and other creatures	monsters en andere wezens		
Giant Crocodile		Reuzenkrokodil		monsters and other creatures	monsters en andere wezens		
Giant Eagle		Reuzenadelaar		monsters and other creatures	monsters en andere wezens		
Giant Elk		Reuzeneland		monsters and other creatures	monsters en andere wezens		
Giant Fire Beetle		Reuzenvuurkever		monsters and other creatures	monsters en andere wezens		
Giant Frog		Reuzenkikker		monsters and other creatures	monsters en andere wezens		
Giant Goat		Reuzengeit		monsters and other creatures	monsters en andere wezens		
Giant Hyena		Reuzenhyena		monsters and other creatures	monsters en andere wezens		
Giant Lizard		Reuzenhagedis		monsters and other creatures	monsters en andere wezens		
Giant Octopus		Reuzenoctopus		monsters and other creatures	monsters en andere wezens		
Giant Owl		Reuzenuil		monsters and other creatures	monsters en andere wezens		
Giant Poisonous Snake		Giftige reuzenslang		monsters and other creatures	monsters en andere wezens		
Giant Rat		Reuzenrat		monsters and other creatures	monsters en andere wezens		
Giant Scorpion		Reuzenschorpioen		monsters and other creatures	monsters en andere wezens		
Giant Sea Horse		Reuzenzeepaard		monsters and other creatures	monsters en andere wezens		
Giant Shark		Reuzenhaai		monsters and other creatures	monsters en andere wezens		
Giant Spider		Reuzenspin		monsters and other creatures	monsters en andere wezens		
Giant Toad		Reuzenpad		monsters and other creatures	monsters en andere wezens		
Giant Vulture		Reuzengier		monsters and other creatures	monsters en andere wezens		
Giant Wasp		Reuzenwesp		monsters and other creatures	monsters en andere wezens		
Giant Weasel		Reuzenwezel		monsters and other creatures	monsters en andere wezens		
Giant Wolf Spider		Reuzenwolfspin		monsters and other creatures	monsters en andere wezens		
Goat		Geit		monsters and other creatures	monsters en andere wezens		
Hawk		Havik		monsters and other creatures	monsters en andere wezens		
Hunter Shark		Jachthaai		monsters and other creatures	monsters en andere wezens		
Hyena		Hyena		monsters and other creatures	monsters en andere wezens		
Jackal		Jakhals		monsters and other creatures	monsters en andere wezens		
Killer Whale		Orka		monsters and other creatures	monsters en andere wezens		
Lion		Leeuw		monsters and other creatures	monsters en andere wezens		
Lizard		Hagedis		monsters and other creatures	monsters en andere wezens		
Mammoth		Mammoet		monsters and other creatures	monsters en andere wezens		
Mastiff		Mastiff		monsters and other creatures	monsters en andere wezens		
Mule		Muilezel/Muildier		monsters and other creatures	monsters en andere wezens		
Octopus		Octopus		monsters and other creatures	monsters en andere wezens		
Owl		Uil		monsters and other creatures	monsters en andere wezens		
Panther		Panter		monsters and other creatures	monsters en andere wezens		
Phase Spider		Fasenspin		monsters and other creatures	monsters en andere wezens		
Poisonous Snake		Giftige Slang		monsters and other creatures	monsters en andere wezens		
Polar Bear		IJsbeer		monsters and other creatures	monsters en andere wezens		
Pony		Pony		monsters and other creatures	monsters en andere wezens		
Quipper		Kwipper		monsters and other creatures	monsters en andere wezens		
Rat		Rat		monsters and other creatures	monsters en andere wezens		
Raven		Raaf		monsters and other creatures	monsters en andere wezens		
Reef Shark		Rifhaai		monsters and other creatures	monsters en andere wezens		
Rhinoceros		Neushoorn		monsters and other creatures	monsters en andere wezens		
Riding Horse		Rijpaard		monsters and other creatures	monsters en andere wezens		
Saber-Toothed Tiger		Sabeltandtijger		monsters and other creatures	monsters en andere wezens		
Scorpion		Schorpioen		monsters and other creatures	monsters en andere wezens		
Sea Horse		Zeepaardje		monsters and other creatures	monsters en andere wezens		
Spider		Spin		monsters and other creatures	monsters en andere wezens		
Swarm of Bats		Vleermuizenzwerm		monsters and other creatures	monsters en andere wezens		
Swarm of Insects		Insectenzwerm		monsters and other creatures	monsters en andere wezens		
Swarm of Poisonous Snakes		Zwerm van giftige slangen		monsters and other creatures	monsters en andere wezens		
Swarm of Quippers		Kwipperzwerm		monsters and other creatures	monsters en andere wezens		
Swarm of Rats		Rattenzwerm		monsters and other creatures	monsters en andere wezens		
Swarm of Ravens		Ravenzwerm		monsters and other creatures	monsters en andere wezens		
Tiger		Tijger		monsters and other creatures	monsters en andere wezens		
Vulture		Aasgier		monsters and other creatures	monsters en andere wezens		
Warhorse		Strijdpaard		monsters and other creatures	monsters en andere wezens		
Weasel		Wezel		monsters and other creatures	monsters en andere wezens		
Winter Wolf		Winterwolf		monsters and other creatures	monsters en andere wezens		
Wolf		Wolf		monsters and other creatures	monsters en andere wezens		
Worg		Worg		monsters and other creatures	monsters en andere wezens		
Acolyte		Ingewijde		monsters and other creatures	monsters en andere wezens		
Archmage		Aartsmagiër		monsters and other creatures	monsters en andere wezens		
Assassin		Sluipmoordenaar		monsters and other creatures	monsters en andere wezens		
Bandit		Bandiet		monsters and other creatures	monsters en andere wezens		
Bandit Captain		Bandietenkapitein		monsters and other creatures	monsters en andere wezens		
Berserker		Berserker		monsters and other creatures	monsters en andere wezens		
Commoner		Burger		monsters and other creatures	monsters en andere wezens		
Cultist		Sektelid		monsters and other creatures	monsters en andere wezens		
Cult Fanatic		Sekte-aanhanger		monsters and other creatures	monsters en andere wezens		
Druid		Druïde		monsters and other creatures	monsters en andere wezens		
Gladiator		Gladiator		monsters and other creatures	monsters en andere wezens		
Guard		Bewaker		monsters and other creatures	monsters en andere wezens		
Knight		Ridder		monsters and other creatures	monsters en andere wezens		
Mage		Magiër		monsters and other creatures	monsters en andere wezens		
Noble		Edele		monsters and other creatures	monsters en andere wezens		
Priest		Priester		monsters and other creatures	monsters en andere wezens		
Scout		Verkenner		monsters and other creatures	monsters en andere wezens		
Spy		Spion		monsters and other creatures	monsters en andere wezens		
Thug		Schurk		monsters and other creatures	monsters en andere wezens		
Tribal Warrior		Stamkrijger		monsters and other creatures	monsters en andere wezens		
Veteran		Veteraan		monsters and other creatures	monsters en andere wezens		
